player_id,name,span,bating_style,playing_role,country,matches,innings,runs,strike_rate,average_score,not_out,100s,50,4s,6s,years_played,batting_score,Runs_per_year,Runs_per_inning,Runs_by_6s,6s_runs_percentage,Runs_by_4s,4s_runs_percentage
230555,SSJ Brooks,2022-2022,right-hand bat,top-order batter,West Indies,21,21.0,694.0,76.34,34.7,1.0,1.0,4.0,57.0,15.0,1,47.712500000000006,694.0,33.04761904761905,90.0,12.968299711815561,228.0,32.85302593659942
333066,J Charles,2012-2016,right-hand bat,wicketkeeper batter,West Indies,48,48.0,1283.0,83.8,26.72,0.0,2.0,4.0,140.0,35.0,4,40.52001447701773,320.75,26.729166666666668,210.0,16.36788776305534,560.0,43.6477007014809
391832,RL Chase,2017-2022,right-hand bat,allrounder,West Indies,33,26.0,553.0,73.34,24.04,3.0,0.0,2.0,40.0,3.0,5,36.21058944341754,110.6,21.26923076923077,18.0,3.25497287522604,160.0,28.933092224231466
670025,SO Hetmyer,2017-2021,left-hand bat,top-order batter,West Indies,47,44.0,1447.0,106.39,35.29,3.0,5.0,4.0,111.0,52.0,4,52.99976143421795,361.75,32.88636363636363,312.0,21.56185210780926,444.0,30.684174153420873
391485,JO Holder,2013-2022,right-hand bat,bowling allrounder,West Indies,131,107.0,2042.0,90.51,24.3,23.0,0.0,11.0,147.0,64.0,9,38.31361379670761,226.88888888888889,19.08411214953271,384.0,18.8050930460333,588.0,28.795298726738494
581379,SD Hope,2016-2022,right-hand bat,wicketkeeper batter,West Indies,104,99.0,4308.0,74.68,48.95,11.0,13.0,21.0,360.0,62.0,6,59.13752325487341,718.0,43.515151515151516,372.0,8.635097493036211,1440.0,33.42618384401114
530812,AJ Hosein,2021-2022,left-hand bat,bowler,West Indies,29,22.0,234.0,76.97,13.76,5.0,0.0,1.0,13.0,10.0,1,23.346350710900474,234.0,10.636363636363637,60.0,25.64102564102564,52.0,22.22222222222222
670031,AS Joseph,2016-2022,right-hand bat,bowler,West Indies,54,31.0,332.0,71.55,18.44,13.0,0.0,0.0,25.0,14.0,6,29.322858095343932,55.333333333333336,10.709677419354838,84.0,25.301204819277107,100.0,30.120481927710845
670035,BA King,2019-2022,right-hand bat,top-order batter,West Indies,20,20.0,431.0,75.88,23.94,2.0,0.0,3.0,40.0,11.0,3,36.39685834502104,143.66666666666666,21.55,66.0,15.31322505800464,160.0,37.12296983758701
431901,E Lewis,2016-2021,left-hand bat,opening batter,West Indies,57,54.0,1847.0,82.97,36.94,4.0,4.0,10.0,185.0,52.0,5,51.12020348594779,369.4,34.2037037037037,312.0,16.89225771521386,740.0,40.064970221981596
56143,Shakib Al Hasan,2006-2022,left-hand bat,allrounder,Bangladesh,224,212.0,6835.0,82.15,37.55,30.0,9.0,50.0,619.0,46.0,16,51.54106098579783,427.1875,32.240566037735846,276.0,4.038039502560351,2476.0,36.225310899780546
436677,Soumya Sarkar,2014-2021,left-hand bat,middle-order batter,Bangladesh,61,58.0,1768.0,97.35,32.14,3.0,2.0,11.0,203.0,43.0,7,48.32541508996834,252.57142857142858,30.482758620689655,258.0,14.592760180995477,812.0,45.92760180995475
56194,Tamim Iqbal,2007-2022,left-hand bat,opening batter,Bangladesh,231,229.0,8074.0,78.65,37.03,11.0,14.0,55.0,890.0,101.0,15,50.35286134163209,538.2666666666667,35.25764192139738,606.0,7.505573445627942,3560.0,44.092147634381966
538506,Taskin Ahmed,2014-2022,left-hand bat,bowler,Bangladesh,52,25.0,95.0,47.73,5.93,9.0,0.0,0.0,6.0,2.0,8,10.54934401789042,11.875,3.8,12.0,12.631578947368421,24.0,25.263157894736842
326434,AT Carey,2018-2022,left-hand bat,wicketkeeper batter,Australia,62,57.0,1629.0,88.05,35.41,11.0,1.0,7.0,152.0,13.0,4,50.50786489551272,407.25,28.57894736842105,78.0,4.788213627992634,608.0,37.323511356660525
489889,PJ Cummins,2011-2022,right-hand bat,bowler,Australia,75,47.0,324.0,73.97,10.12,15.0,0.0,0.0,23.0,5.0,11,17.804171720775358,29.454545454545453,6.8936170212765955,30.0,9.25925925925926,92.0,28.39506172839506
5334,AJ Finch,2013-2022,right-hand bat,top-order batter,Australia,146,142.0,5406.0,87.73,38.89,3.0,17.0,30.0,532.0,129.0,9,53.89069183383352,600.6666666666666,38.070422535211264,774.0,14.317425083240842,2128.0,39.3636699963004
334337,PSP Handscomb,2017-2019,right-hand bat,batter,Australia,22,20.0,632.0,97.38,33.26,1.0,1.0,4.0,46.0,6.0,2,49.58448867115738,316.0,31.6,36.0,5.69620253164557,184.0,29.11392405063291
288284,JR Hazlewood,2010-2022,left-hand bat,bowler,Australia,69,23.0,81.0,77.88,20.25,19.0,0.0,0.0,8.0,1.0,12,32.14246407826353,6.75,3.5217391304347827,6.0,7.4074074074074066,32.0,39.50617283950617
